rt_label,critic,tomato_meter,tomato_perc,title_year,review
Rotten,Robert Ebert,1,--,"Like Father, Like Son (1987)","[This] is one of the most desperate comedies I've ever seen, and no wonder. The movie's premise doesn't work -- not at all, not even a little, not even part of the time -- and that means everyone in the movie looks awkward and silly all of the time. -Chicago Sun-Times"
Rotten,Robert Ebert,1,0.81,Real Life (1979),"A great idea. But the movie that Albert Brooks has made from it, alas, gets most of its laughs in the first 10 minutes, slides into a long middle stretch of repetitive situations and ends on a note of embarrassing hysteria. -Chicago Sun-Times"
Rotten,Robert Ebert,1,0.57,Garbo Talks (1984),"Garbo Talks started out as a great idea for a movie, and when it's over, it's still a great idea for a movie, but the problem is, there are no great ideas in between. -Chicago Sun-Times"
Rotten,Robert Ebert,1,--,"I, A Woman, Part II (1968)","If you can miss only one movie this year, make it I, A Woman. Here is a Swedish film which very nearly restores my faith in the cinema, demonstrating that all the other crummy movies I've had to sit through in this job weren't so bad. -Chicago Sun-Times"
Rotten,Robert Ebert,1,--,The Immortal Bachelor (1975),"It assembles characters of such incredible stupidity that we instantly lose interest in them, and then marches them through a plot so mechanical that we can anticipate everything that happens. -Chicago Sun-Times"
Rotten,Robert Ebert,1,--,Alphabet City (1984),"Maybe in another movie these actors could have made their characters come alive. In Alphabet City, everything is smothered in the concept. -Chicago Sun-Times"
Rotten,Robert Ebert,1,0.43,Hitler: The Last Ten Days (1973),"There's no tragedy in this movie, no sense of the vast scale of suffering outside the bunker. -Chicago Sun-Times"
Rotten,Robert Ebert,1,--,Jekyll and Hyde... Together Again (1982),"This kind of movie, the slapstick, anything-goes satire, is getting awfully old very fast. -Chicago Sun-Times"
Rotten,Robert Ebert,1,--,Night Games (1980),"Well, the movie's premise is obviously shoddy. But is the movie's visual strategy any better? Are we really thrilled by those nighttime chases through the deserted mansion? Not really. -Chicago Sun-Times"
Rotten,Robert Ebert,1,--,Why Would I Lie? (1980),"Why Would I Lie? made me very angry while I was watching it, because it is both a glorification of the arrogant stupidity of its central character, and an insult to the intelligence of its audience. Not a bad double play. -Chicago Sun-Times"
Rotten,Robert Ebert,1,--,"A Minute to Pray, a Second to Die (1968)","[A] bad, artless, stupid movie. -Chicago Sun-Times"
Rotten,Robert Ebert,1,--,Framed (1974),"I suppose movies like this are a living for Baker, but if he wants to put together any kind of career he should choose more carefully. -Chicago Sun-Times"
Rotten,Robert Ebert,1,--,Sharks' Treasure (1975),The movie's never convincing enough to really involve us. -Chicago Sun-Times
Rotten,Robert Ebert,2,--,The Amateur (1982),"After earning our attention with its understated, powerful opening, the movie develops into a routine, even laughable, spy thriller. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Eight on the Lam (1967),"Bob Hope has given the screen some of its most amusing moments, but Eight on the Lam, unfortunately, contains none of them. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.69,Don Juan DeMarco (1995),"Brando doesn't so much walk through this movie as coast, in a gassy, self-indulgent performance no one else could have gotten away with. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Brimstone and Treacle (1982),"Brimstone and Treacle performs an unexpected feat, making its startling subject matter into a sigh, not a shriek, of scandal. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Clair de Femme (1979),"Clair de Femme is one of those movies that provides a strange two-level- viewing experience: It moves along for two hours looking exactly like a great idea for a movie, but it never quite becomes the movie. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Jack of Diamonds (1967),"Jack of Diamonds is a harmless exercise in how not to make a suspense adventure. I can't think of any reason to go and see it, unless you're a George Hamilton fan. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.61,History of the World: Part I (1981),"Mel Brooks's movie History of the World, Part 1 is a rambling, undisciplined, sometimes embarrassing failure from one of the most gifted comic filmmakers around. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,National Lampoon's Class Reunion (1982),"National Lampoon's Class Reunion has its funny moments, but they're rare enough that we're acutely aware of them. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.87,The Warriors (1979),"No matter what impression the ads give, this isn't even remotely intended as an action film. It's a set piece. It's a ballet of stylized male violence. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.57,Malice (1993),"Offhand, this is the only movie I can recall in which an entire subplot about a serial killer is thrown in simply for atmosphere. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.6,Union City (1980),"Reichert's film is self-consciousness about what he's doing, and that becomes a problem. Not a frame of this film is permitted to express a spontaneity of its own. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,If You Could See What I Hear (1982),Relentlessly trivial. -Chicago Sun-Times
Rotten,Robert Ebert,2,--,Jimmy the Kid (1982),"Since Jimmy the Kid is basically a kid's movie, it's too bad they didn't empathize more with the kids in their potential audience. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,"Those Lips, Those Eyes (1980)","Since the movie's center is wrong, not much of anything works. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.83,Starting Over (1979),"Starting Over actually feels sort of embarrassed at times, maybe because characters are placed in silly sitcom situations and then forced to say lines that are supposed to be revealing and real. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.5,Author! Author! (1982),That unwillingness to really be about its characters is fatal to Author! Author! -Chicago Sun-Times
Rotten,Robert Ebert,2,0.9,The Secret Policeman's Other Ball (1981),"The material photographed in The Secret Policeman's Other Ball is sometimes pretty funny, but it tends to get sidetracked by the low-budget videotape recording of the show, and the result is seen through a lens, darkly. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Gable and Lombard (1976),The movie takes a fan-magazine approach to filmmaking - it's all dressing rooms and autograph hounds and world premieres. -Chicago Sun-Times
Rotten,Robert Ebert,2,--,Coast to Coast (1980),"The narrative strategy of Coast to Coast is to repeat the same scenes over and over again, in the hope that if they've worked once, who knows? Maybe they'll work again. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.4,A Time for Dying (1969),"Too slight, too flat and too unintentionally ludicrous. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,One of Our Dinosaurs Is Missing (1975),You can't really get stirred up about a movie like this. -Chicago Sun-Times
Rotten,Robert Ebert,2,0.27,Waterloo (1970),"Bondarchuk is so overwhelmed by the thousands of Russian cavalry troops he's been given to play with, and by his $25 million budget, and by-his obsession for aerial photography, that his leading characters turn out scarcely more human than his extras. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Duffy (1968),"Duffy is a movie mostly made up of pauses. Unhappily, Parrish does not understand the pause, and so what we mostly get are dead spaces with James Coburn smiling enigmatically. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Going Home (1971),"Going Home is a fairly awful melodrama that's worth seeing primarily for the presence of Robert Mitchum. Not that he's especially good... It's just that he's there, the kind of screen presence that draws your attention. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Hero at Large (1980),"Hero at Large is a big, dumb, silly, good-hearted albatross of a comedy that may find an audience among John Ritter fans but did not find one with me. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Something Big (1971),I haven't seen a Dean Martin movie since How to Save A Marriage and Ruin Your Life where his talent was really used. -Chicago Sun-Times
Rotten,Robert Ebert,2,0.67,The Return of Count Yorga (1971),"I'm convinced we're taking vampires, ghouls and zombies much too casually these days. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Crime and Passion (1976),"If you somehow find yourself viewing Crime and Passion, notice the complete confusion of plot and tone. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Where It's At (1969),"Janssen is the best thing in this dreary, disjointed project. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.17,Making It (1971),"Like the adolescent it's about, Making It has an inadequate attention span.The strange thing, though, is that a fundamentally good movie seems to be trying to break through the B.S. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,The Violent Four (1968),Never in your life have you seen so many cops and robbers hanging out the windows of speeding automobiles and machine-gunning each other. -Chicago Sun-Times
Rotten,Robert Ebert,2,--,The Gang That Couldn't Shoot Straight (1971),"One of the hazards of movie comedy is that it's almost impossible to be sure that what reads funny will look funny. The Gang That Couldn't Shoot Straight, an uncertain comedy based on Jimmy Breslin's funny novel, supplies plenty of examples. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.5,The Black Windmill (1974),"The Black Windmill commits the one crime no thriller can be pardoned for. It's not thrilling. It's also terribly passive and static, and Siegel directs Caine almost to a standstill. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Evil Knievel (1971),"The life of Evel Knievel contains the same seeds of self-doom as a Dostoevski character's. That's what I miss in the current George Hamilton movie version, despite its generally interesting texture and its flicks of black humor. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.4,The Last Run (1971),The movie forgets what kinds of characters it's developed and gives us an ending we can't accept. -Chicago Sun-Times
Rotten,Robert Ebert,2,--,Norman... Is That You? (1976),"The movie isn't much (and it's based on a Broadway play that was even less), but while Foxx is onscreen we're willing to forgive it a lot. -Chicago Sun-Times"
Rotten,Robert Ebert,2,0.63,A Matter of Time (1976),"The movie just doesn't hold together... And yet we sit in this failed movie and give our attention to Ingrid Bergman, and there is a certain consolation. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,T.R. Baskin (1971),"The problem is that everyone in the movie acts so stupidly. Real people of average intelligence would have cut through this plot in about three minutes, and the movie would have been over. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,The Marriage of a Young Stockbroker (1971),"The reason Marriage of a Young Stockbroker doesn't work, I imagine, is that it doesn't start from scratch in getting into the mind of its protagonist. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,The River Niger (1976),"The River Niger, a film about a series of crises in an American black family, has good intentions and several very well-acted scenes. But its direction is a mess. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Millhouse: A White Comedy (1971),"The thing about Millhouse is that the same film could have been made about anybody. It is not specifically, uniquely, or revealingly about Nixon. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,"Brother, Can You Spare a Dime? (1975)","There are songs and production numbers from the great 1930s musicals and newsreel footage of the rioting strikers at Ford, and animated sequences, and Will Rogers kidding FDR and Rudy Vallee singing the title song. But to what purpose? -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,Shadow of the Hawk (1976),"Vincent is one of the more engaging young American actors, but this time he's given almost nothing to work with. -Chicago Sun-Times"
Rotten,Robert Ebert,2,--,First Love (1970),"When a movie moves slowly we're supposed to appreciate the ""pacing,"" and it is a great day when a director ""succeeds in establishing a mood,"" even if that mood is boredom in the audience. -Chicago Sun-Times"
Fresh,Robert Ebert,3,0.5,Flashpoint (1984),"""Flashpoint"" is such a good thriller for so much of its length that it's kind of a betrayal when the ending falls apart. -Chicago Sun-Times"
Fresh,Robert Ebert,3,0.91,El Mariachi (1992),An enormously entertaining movie. -Chicago Sun-Times
Fresh,Robert Ebert,3,--,Hugo and Josefin (1967),"At a time when every summer Saturday brings a rip-off kiddie matinee, this is a film to treasure. -Chicago Sun-Times"
Fresh,Robert Ebert,3,--,Echoes of Silence (1967),"Echoes of Silence is hardly a movie at all, in the way we ordinarily use the word, and yet it is a sincere and rather effective film. Its flaws are honest ones, made for the right reasons, and there is not a false moment in it. -Chicago Sun-Times"
Fresh,Robert Ebert,3,--,Contract (1980),"For American audiences, the movie works as a more general satire of social and political values. -Chicago Sun-Times"
Fresh,Robert Ebert,3,--,It Came From Hollywood (1982),Here is a movie that could save you years of watching the Late Late Show; it's like Creature Features died and went to heaven. -Chicago Sun-Times
Fresh,Robert Ebert,3,--,Gospel (1982),"It just wants to be a concert film, and contains no offstage or biographical material about its performers. But seen simply as music and performance, it's a great experience. -Chicago Sun-Times"
Fresh,Robert Ebert,3,--,"Me, Natalie (1969)","Me, Natalie is a pleasant film, very funny at times, and the evidence in the audience was that women liked it enormously. -Chicago Sun-Times"
Fresh,Robert Ebert,3,0.67,King Lear (1971),"Shakespeare's Lear survives in his play and, will endure forever. Brook's Lear is a new conception, a rethinking, and a critical commentary on the play. -Chicago Sun-Times"
Fresh,Robert Ebert,3,0.93,The Atomic Cafe (1982),The Atomic Cafe is a chilling memory of life in the first years under the mushroom umbrella. -Chicago Sun-Times
Fresh,Robert Ebert,3,0.93,Working Girls (1986),"The director, Lizzie Borden, has created characters who seem close to life, and her movie helps explain why the world's oldest profession is, despite everything, a profession. -Chicago Sun-Times"
Fresh,Robert Ebert,3,0.97,Sleepless Night (2011),"The film's headlong momentum streamrolls over all our questions, and we're carried along by the expertly choreographed action. -Chicago Sun-Times"
Fresh,Robert Ebert,3,--,Northern Lights (1979),"The filmmakers, John Hanson and Rob Nilsson, use the documentary springboard of Martinson's memories to move into a film that also looks like a documentary. -Chicago Sun-Times"
Fresh,Robert Ebert,3,--,Desperate Characters (1971),"The movie's characters are decent people, but morally exhausted. They have no way or desire to keep going; yet they hang on raggedly to a city existence that's taken any sense of balance or sanity. -Chicago Sun-Times"
Fresh,Robert Ebert,3,0.83,The Original Kings of Comedy (2000),"The Original Kings of Comedy doesn't have the theatrical subtext or, let it be said, the genius of Richard Pryor. But then again Pryor went out for an hour or 90 minutes and just talked. These guys are working in a revue format. -RogerEbert.com"
Fresh,Robert Ebert,3,--,The Penthouse (1989),"The Penthouse, quite simply, is a pretty good shocker. Shockers are standard fare in the movies and always have been, but successful ones are rare. It's a relief to find one that's made with skill and a certain amount of intelligence. -Chicago Sun-Times"
Fresh,Robert Ebert,3,0.89,Married to the Mob (1988),The results are very good - far better and funnier than most of what is being made these days. -Chicago Sun-Times
Fresh,Robert Ebert,3,--,Paper Lion (1968),The scenes on the football field are absorbing and hilarious by turns; I imagine pro football fans will enjoy the movie enormously. -Chicago Sun-Times
Fresh,Robert Ebert,3,--,Guns of the Trees (1961),"What Jonas Mekas has made in this film, perhaps without fully intending to, is a documentary of a style of life. -Chicago Sun-Times"
Fresh,Robert Ebert,3,0.77,Essential Killing (2010),"With ""Essential Killing,"" [Jerzy] Skolimowski comes closer than ever before to a pure, elemental story. -RogerEbert.com"
Fresh,Robert Ebert,3,--,Perfect Friday (1970),"A movie made of froth and sweep-second hands and Ursula Andress. It is of absolutely no consequence or importance at all, but it's nice while you're watching it. -Chicago Sun-Times"
Fresh,Robert Ebert,3,0.46,The Portrait of a Lady (1996),"I think if you care for James, you must see it. It is not an adaptation but an interpretation. It gives us Isabel from a new angle. And it is well acted. -Chicago Sun-Times"
Fresh,Robert Ebert,3,--,Jack Johnson (1971),"It is nearly always fascinating -- old, resurrected newsreel film affects me something like a time machine -- but it doesn't necessarily penetrate to the man Jack Johnson. We are left with the public figure. -Chicago Sun-Times"
Fresh,Robert Ebert,3,0.64,The Aristocats (1970),"The Aristocats is in there with the good ones. It is light and pleasant and funny, the characterization is strong, and the voices of Phil Harris and Eva Gabor are charming in their absolute rightness. -Chicago Sun-Times"
Fresh,Robert Ebert,3,1,Infra-Man (1975),"The movie's totally, almost joyfully absurd... It's a classy, slick production by the Shaw Brothers, the Hong Kong kung fu kings. When they stop making movies like Infra-Man, a little light will go out of the world. -Chicago Sun-Times"
Fresh,Robert Ebert,3,--,Joe Cocker: Mad Dogs & Englishmen (1971),"The sound is first rate, for one thing, and director Pierre Adidge has some idea of why Cocker electrifies a crowd. -Chicago Sun-Times"
Fresh,Robert Ebert,3,0.4,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me? (1971),"There's a certain flabbiness in its philosophy. And yet, I reacted very favorably to some scenes in the film, and I think Hoffman's two long scenes with Barbara Harris are among the best cinema I've seen in some time. -Chicago Sun-Times"
Fresh,Robert Ebert,4,0.4,Elvira Madigan (1967),"Elvira Madigan is indeed remarkably beautiful, Almost every frame would make a painting, and yet the film is alive and cinematic, not simply photographs of pretty pictures. -Chicago Sun-Times"
Fresh,Robert Ebert,4,0.41,Camelot (1967),"Exactly what we were promised: ornate, visually beautiful, romantic and staged as the most lavish production in the history of the Hollywood musical. If that's what you like, you'll like it. -Chicago Sun-Times"
